Nom,name,derivative_of,nature,unit_name,variety,frozen_indicators_values 1,frozen_indicators_values 2,frozen_indicators_values 3,frozen_indicators_values 4,frozen_indicators_values 5
Adjuvant,additive,,additive,liter,,net_volume: 1.00liter,net_mass: 1.00kilogram,,,
Zone de bâtiment,office_building_division,,administrative_division,room,,,,,,
Compresseur d’air,air_compressor,,air_compressor,equipment,,,,,,
Zone accueillant des animaux,animal_division,,animal_building_division,room,,,,,,
Sac de 25kg d’aliment,25kg_bag_animal_food,plant,animal_food,25kg_bag,,net_mass: 25.00kilogram,net_volume: 0.030cubic_meter,,,
Mélange d’aliment,bulk_animal_food,plant,animal_food,ton,,net_mass: 1.00ton,net_volume: 1.00cubic_meter,,,
Mélange d’aliment (kg),bulk_kg_animal_food,plant,animal_food,kilogram,,net_mass: 1.00kilogram,net_volume: 0.001cubic_meter,,,
Aliment céréales – sac de 25kg,cereals_feed_bag_25,poaceae,animal_food,25kg_bag,mix,net_mass: 25.00kilogram,,,,
Complément minéral – sac de 25kg,mineral_feed_block_25,,animal_food,25kg_bag,mix,net_mass: 25.00kilogram,,,,
Zone accueillant des animaux et d’aliment,animal_food_division,,animal_food_building_division,room,,,,,,
Rabot,animal_housing_cleaner,,animal_housing_cleaner,equipment,,,,,,
Nettoyage,animal_housing_service,,animal_housing_services,,,,,,,
Litière,animal_litter,plant,animal_litter,,,net_mass: 1.00ton,,,,
Médicament vétérinaire,generic_animal_medicine,,animal_medicine,,,net_mass: 1000g,net_volume: 1000ml,meat_withdrawal_period: 1day,milk_withdrawal_period: 1day,
Réserve de médicament,animal_medicine_tank,,animal_medicine_tank,equipment,,,,,,
Charge de sécurité sociale,associate_social_contribution,,associate_social_contribution,,,,,,,
Groupeur de botte,bale_collector,,bale_collector,equipment,,,,,,
Presse,baler,,baler,equipment,,,,,,
Service bancaire,bank_service,,bank_service,,,,,,,
Haricot,bean,phaseolus_vulgaris,bean,,,net_mass: 1.00ton,,,,
Betterave,beet,beta_vulgaris,beet,,,net_mass: 1.00ton,,,,
Bâtiment d’accueil pour les animaux,animal_building,,building,building,,,,,,
Bâtiment,building,,building,building,,,,,,
Bureau,office_building,,building,building,,,,,,
Découpe de bâtiment,building_division,,building_division,room,,,,,,
Chou,cabbage,brassica_oleracea,cabbage,,,net_mass: 1.00ton,,,,
Veau,calf,,calf,head,,livestock_unit: 0.4,reproductor: false,,,
Voiture,car,,car,equipment,,,,,,
Transport,carriage,,carriage,,,,,,,
Carotte,carrot,daucus_carota,carrot,,,net_mass: 1.00ton,,,,
Troupeau,cattle_herd,bos,cattle_herd,band,,sex: undefined,,,,
Génisse,female_young_cattle_herd,bos,cattle_herd,band,,sex: female,,,,
Taureau,male_adult_cattle_herd,bos,cattle_herd,band,,sex: male,,,,
Veau,male_young_cattle_herd,bos,cattle_herd,band,,sex: male,,,,
Culture de sarrasin,buckwheat_crop,,cereal_crop,hectare,fagopyrum_esculentum,net_surface_area: 1.00hectare,,,,
Culture de maïs,corn_crop,,cereal_crop,hectare,zea_mays,net_surface_area: 1.00hectare,,,,
Culture de blé dur,hard_wheat_crop,,cereal_crop,hectare,triticum_durum,net_surface_area: 1.00hectare,,,,
Culture de seigle,rye_crop,,cereal_crop,hectare,secale,net_surface_area: 1.00hectare,,,,
Culture d’épeautre,spelt_wheat_crop,,cereal_crop,hectare,triticum_spelta,net_surface_area: 1.00hectare,,,,
Culture d’orge de printemps,spring_barley_crop,,cereal_crop,hectare,hordeum_distichum,net_surface_area: 1.00hectare,,,,
Culture d’avoine de printemps,spring_oat_crop,,cereal_crop,hectare,avena,net_surface_area: 1.00hectare,,,,
Culture de triticale,triticale_crop,,cereal_crop,hectare,triticosecale,net_surface_area: 1.00hectare,,,,
Culture de blé,wheat_crop,,cereal_crop,hectare,triticum_aestivum,net_surface_area: 1.00hectare,,,,
Culture d’orge d’hiver,winter_barley_crop,,cereal_crop,hectare,hordeum_hexastichum,net_surface_area: 1.00hectare,,,,
Culture d’avoine d’hiver,winter_oat_crop,,cereal_crop,hectare,avena,net_surface_area: 1.00hectare,,,,
Ammonitrate 27,bulk_ammonitrate_27,,chemical_fertilizer,ton,,net_volume: 1.00cubic_meter,net_mass: 1.00ton,nitrogen_concentration: 27percent,,
Ammonitrate 33,bulk_ammonitrate_33,,chemical_fertilizer,ton,,net_volume: 1.00cubic_meter,net_mass: 1.00ton,nitrogen_concentration: 33percent,,
Chlorure ,bulk_chlorure_60_gr_vr,,chemical_fertilizer,ton,,net_volume: 1.00cubic_meter,net_mass: 1.00ton,potassium_concentration: 60percent,,
21-53-0,bulk_diammo_phosphorus_21_53_0,,chemical_fertilizer,ton,,net_volume: 1.00cubic_meter,net_mass: 1.00ton,nitrogen_concentration: 21percent,phosphorus_concentration: 53percent,
0-24-05,bulk_fertilizer_0_24_05,,chemical_fertilizer,ton,,net_volume: 1.00cubic_meter,net_mass: 1.00ton,phosphorus_concentration: 24percent,potassium_concentration: 5percent,
